"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17752","E2E - Registration >> Add Address >> Logout >> Login","chromium","Fri Oct 10 08:04:13 CEST 2025","passed","Fri Oct 10 08:04:31 CEST 2025","","E2E.spec.ts","",""
"","1246","get booking details by Id- path param","chromium","Sat Oct 25 10:04:20 CEST 2025","passed","Sat Oct 25 10:04:22 CEST 2025","","Get_api_request_04.spec.ts","",""
"","42662","E2E - Parallel Multiple User Registration and Login","chromium","Fri Oct 10 08:16:31 CEST 2025","passed","Fri Oct 10 08:17:13 CEST 2025","","Script1.spec.ts","",""
"","21040","customer login and related E2E flows","chromium","Thu Sep 25 22:03:47 CEST 2025","failed","Thu Sep 25 22:04:08 CEST 2025","","Customer.spec.ts","",""
"","70481","Sparkstone Insurance Quote Flow","chromium","Sat Oct 11 18:39:13 CEST 2025","failed","Sat Oct 11 18:40:23 CEST 2025","","Automobile.spec.ts","",""
"","409","create post request using static body","chromium","Sat Oct 25 10:04:22 CEST 2025","passed","Sat Oct 25 10:04:22 CEST 2025","","Post_api_request_01_Create_Booking_static_Data.spec.ts","",""
"","1170","Get booking details by name - query param","chromium","Mon Oct 06 11:18:53 CEST 2025","passed","Mon Oct 06 11:18:54 CEST 2025","","get_api_request_04.spec.ts","",""
"","81","get booking details by Id path param","chromium","Tue Sep 30 19:40:23 CEST 2025","failed","Tue Sep 30 19:40:23 CEST 2025","","get_api_request_04.spec.ts","",""
"","1314","create post request using static body","chromium","Mon Sep 29 11:21:35 CEST 2025","passed","Mon Sep 29 11:21:36 CEST 2025","","API_test_POC\Postapirequest01createbooking.spec.ts","",""
"","5806","Delete promotional emails (simulation)","chromium","Fri Oct 10 19:21:10 CEST 2025","passed","Fri Oct 10 19:21:16 CEST 2025","","Script2.spec.ts","",""
"","5238","Delete all promotional emails (simulation with loop)","chromium","Fri Oct 10 19:24:21 CEST 2025","passed","Fri Oct 10 19:24:26 CEST 2025","","Script2.spec.ts","",""
"","13230","login page implementation","chromium","Sat Oct 11 18:39:13 CEST 2025","passed","Sat Oct 11 18:39:26 CEST 2025","","dummy.spec.ts","",""
"","73661","implemeting Truck quotation e2e test","chromium","Sat Oct 11 18:41:04 CEST 2025","passed","Sat Oct 11 18:42:18 CEST 2025","","Truck.spec.ts","",""
"","8333","login to chat360","chromium","Fri Oct 03 12:08:04 CEST 2025","failed","Fri Oct 03 12:08:13 CEST 2025","","Login.spec.ts","",""
"","781","patch booking(put)","chromium","Sat Oct 25 10:04:22 CEST 2025","passed","Sat Oct 25 10:04:22 CEST 2025","","Patch_Api_request_06.spec.ts","",""
"","1512","create post requet using static body","chromium","Mon Sep 29 11:14:51 CEST 2025","failed","Mon Sep 29 11:14:53 CEST 2025","","API_test_POC\Postapirequest01createbooking.spec.ts","",""
"","73741","sampl form test implementation","chromium","Sun Oct 12 15:46:22 CEST 2025","failed","Sun Oct 12 15:47:36 CEST 2025","","Sampletest.spec.ts","",""
"","21883","Practice2 - Slide Bar","chromium","Wed Oct 01 22:11:48 CEST 2025","passed","Wed Oct 01 22:12:10 CEST 2025","","Practice2.spec.ts","",""
"","322","create post request using Json file","chromium","Sat Oct 25 10:04:22 CEST 2025","passed","Sat Oct 25 10:04:23 CEST 2025","","Post_Api_Request_02_Create_Booking_Dynamic_json.spec.ts","",""
